#Date/Time of Update: 2018-12-10 01:15:00 GMT,#Player ID,#LastName,#FirstName,#Jersey Num,#Position,#Team ID,#Team Abbr.,#Team City,#Team Name,#Injury
,479,Orpik,Brooks,44,D,5,WSH,Washington,Capitals,right knee (Out)
,4547,Oshie,T.J.,77,RW,5,WSH,Washington,Capitals,concussion (Out)
,5207,Pageau,Jean-Gabriel,44,C,13,OTT,Ottawa,Senators,severe achilles (Out)
,3626,Perry,Corey,10,RW,29,ANA,Anaheim,Ducks,torn meniscus (Out)
,4548,Pietrangelo,Alex,27,D,17,STL,St. Louis,Blues,hand (Out)
,855,Pominville,Jason,29,RW,15,BUF,Buffalo,Sabres,upper body (Probable)
,5296,Raanta,Antti,32,G,30,ARI,Arizona,Coyotes,lower body (Out)
,5144,Rakell,Rickard,67,RW,29,ANA,Anaheim,Ducks,lower body (Questionable)
,5482,Rieder,Tobias,22,C,24,EDM,Edmonton,Oilers,upper body (Out)
,4270,Ryan,Bobby,9,RW,13,OTT,Ottawa,Senators,upper body (Questionable)
,9078,Santini,Steven,16,D,7,NJD,New Jersey,Devils,broken jaw (Out)
,4911,Scandella,Marco,6,D,15,BUF,Buffalo,Sabres,upper body (Questionable)
,5439,Scherbak,Nikita,21,RW,28,LAK,Los Angeles,Kings,lower body (Questionable)
,5118,Schultz,Justin,4,D,10,PIT,Pittsburgh,Penguins,left lower-leg fracture (Out)
,5088,Schwartz,Jaden,17,LW,17,STL,St. Louis,Blues,upper body (Out)
,4157,Sekera,Andrej,2,D,24,EDM,Edmonton,Oilers,torn achilles tendon (Out)
,5732,Simon,Dominik,12,C,10,PIT,Pittsburgh,Penguins,lower body (Questionable)
,5032,Smith,Brendan,42,D,9,NYR,New York,Rangers,upper body (Probable)
,4029,Staal,Jordan,11,C,3,CAR,Carolina,Hurricanes,concussion (Out)
,4019,Stastny,Paul,26,C,142,VGK,Vegas,Golden Knights,lower body (Out)
,3713,Steen,Alexander,20,LW,17,STL,St. Louis,Blues,upper body (Questionable)
,15168,Stevens,John,58,C,8,NYI,New York,Islanders,unspecified (Out)
,5081,Stone,Michael,26,D,23,CGY,Calgary,Flames,blood clot in his arm (Out)
,4311,Stralman,Anton,6,D,1,TBL,Tampa Bay,Lightning,upper body (Out)
,4671,Subban,P.K.,76,D,18,NSH,Nashville,Predators,upper body (Out)
,4490,Sutter,Brandon,20,C,21,VAN,Vancouver,Canucks,separated shoulder (Out)
,5135,Tarasenko,Vladimir,91,RW,17,STL,St. Louis,Blues,left arm (Questionable)
